text_content,source,sentiment_score
"Kay says: January 5, 2026 at 10:00 am This is more of a question, I just bought a pair of red muted jeans meaning not bright red , are they in style for spring or a trip to florida Reply",Jo-Lynne Shane (Consumer),-0.3412
"Jo-Lynne Shane says: January 5, 2026 at 1:02 pm What style are they? Muted colors are still having a small moment… I wore a rust pair (kick flares) a lot in the fall. I would say it depends on the style. Reply",Jo-Lynne Shane (Consumer),0.0
"Carolyn (petite) says: January 5, 2026 at 10:08 am My three words are classic, feminine, and polished/refined. They served me well in 2025 and I will continue to focus on them in 2026. I’ve noticed you and a few other fashion bloggers I follow all are remarking that they want to simplify things. That’s not a bad idea! I tried adding a few new-to-me silhouettes (tops and bottoms) in 2025. The bottoms – I went to exclusively wearing trouser fit jeans and flowy slacks, and that has been a big win. The tops I tried, not so much. They weren’t as tailored or feminine as my current tops, and I just didn’t care for the look. That said, I’ve noticed something. I can’t seem to wear my more fitted slacks and jeans anymore. They still fit me as they did 3+ years ago, but I “notice the feel” of them more, like I’m more “aware” of them, and that sensation is starting to bother me, like my skin is more sensitive or something. Anyhow, they went into my “iffy” pile this past weekend, potentially to be weeded out of my closet permanently. Thanks for all your input here Jo-Lynne! Definitely gives me food for thought. 🙂 Reply",Jo-Lynne Shane (Consumer),0.9693
"Jo-Lynne Shane says: January 5, 2026 at 1:04 pm I think we are all just sick of managing clothes… lol! I have always preferred a more minimalist closet, so I keep “blog stuff” separate, but it gets really old having so many clothes to manage. Reply",Jo-Lynne Shane (Consumer),-0.1386
"Ana says: January 5, 2026 at 10:14 am This is a great post, thank you for sharing! You mention: Instead of wanting more, I find myself wanting less–I cannot agree more! I have found the past 2 years I share the same sentiment. Maybe it’s age or the fact that after my husband took early retirement, we downsized/sold home and moved to be near aging parents (which has been great) but I find myself not wanting to add more stuff to my closet and focus on, if needed, fresh, classic styles that really echo your style of modern, polished understated. Sometimes, I’d rather spend my $$ on experiences and travel vs clothing, accessories. Anyway, speaking of denim what is a good way to figure out which denim to keep vs donate? I got rid of my skinny jeans but I feel like I could donate more of my jeans–for example I have 2 pairs of slim straight AG jeans, one a denim and another washed black. They are soft and comfortable, I don’t really wear them because they feel like skinnies? I don’t know! Any ideas? Reply",Jo-Lynne Shane (Consumer),0.9793
"Jo-Lynne Shane says: January 5, 2026 at 1:06 pm For me, it is a simple gut check. Do I wear them? Do I want to wear them? If not, they go. If I’m not sure, they go to a “maybe” bin – (or for me, on my rolling racks with “blog stuff” as extra options when I need more variety to style.) If I don’t want them back after a time, they eventually get donated. Reply",Jo-Lynne Shane (Consumer),-0.1833
"Megan says: January 5, 2026 at 1:41 pm Ana, I love your idea about spending your money on experiences not material things! Reply",Jo-Lynne Shane (Consumer),0.6696
"Angela Sarabocca says: January 18, 2026 at 3:04 pm It’s a real challenge for me to find the right fit in jeans/non-jeans. Thank you for all your suggestions. They’re very helpful Reply",Jo-Lynne Shane (Consumer),0.8122
"Pamela says: January 5, 2026 at 10:15 am I am basically a jeans person, but I do like the G4Free Dress Pants from Amazon. I have them in black and think I will add a few more colors. I reach for them all the time when I don’t want jeans. I wear them dressed up or down. I have worn them to church and other functions, and they are perfect for traveling. Reply",Jo-Lynne Shane (Consumer),0.8309
"Jo-Lynne Shane says: January 5, 2026 at 1:08 pm Oh, they look nice. I ordered this pair to try. Reply",Jo-Lynne Shane (Consumer),0.4215
"Pamela says: January 6, 2026 at 11:06 am Oh, good. I hope they work for you. I love mine. So enjoy reading your blog. One of my favorites. Reply",Jo-Lynne Shane (Consumer),0.9459
"Stephanie says: January 6, 2026 at 9:54 am I love the G4Free dress pants! Like you said, Pamela, they can be dressed up or down so they serve many purposes. They look nice and are very comfortable. I have a couple in black and ordered another color. I am a jeans person and have not been able to find a black dress pant that I like but I love these. I also noticed that my much loved and worn straight leg jeans look dated to me and I am fully embracing the wide leg jeans. I love simplicity and I am working on fewer clothing items. Focusing on quality. An organized, intentional closet looks so good to me. This is a 2026 intention for me-buy fewer clothes, focus on quality and what I actually need. Reply",Jo-Lynne Shane (Consumer),0.9864
"Mon says: January 5, 2026 at 10:29 am Nailed it. After several empty nest years, life changes, and trying not to let perimenopause make me depressed about my body changes, this post is a real encouragement and so relatable. Thank you! “Onward and upward”. Reply",Jo-Lynne Shane (Consumer),0.1951
"KimW says: January 7, 2026 at 8:31 am same!! i am shocked at how my body has changed and i am really having a hard time embracing these changes! Reply",Jo-Lynne Shane (Consumer),-0.5933
"Colleen says: January 5, 2026 at 10:29 am What a great post, Jo-Lynne. Several of your statements resonated with me. Many years ago, my daughter, who is 30 years younger than I, made a reference to my “uniform” and I was a bit taken aback. She explained that I wore the same formula in the winter– jeans, ankle boots, and a V-neck sweater, every day. And she was right. It’s the winter combo that works best for me, and it’s still my go-to. I never chose words to describe my style —that would stress me out more than finding clothes to reflect it. However, if I were to choose words, “relaxed” would be one. I only wear comfortable clothes that allow me to do anything physically. I want to walk into an appointment looking put together, but I also want to be able to drop to the floor to play a quick game of Uno with a grandchild or roll the large, heavy garbage dumpster down our long lane. Another thing you mentioned was wanting to add some non-denim pants to your closet. I have, over the last two years, but I find that I barely wear them. In the casual life I lead, I’ve discovered that even when I need an outfit more elevated than my everyday uniform, I’m most comfortable in wide-leg, dark jeans, adding a dressier top, shoes, bag, and jewelry. Denim is the basis of who I am, style-wise —even in my 60s. And I think it always will be. Thanks for putting so much thought into this post! Reply",Jo-Lynne Shane (Consumer),0.9642
"Jo-Lynne Shane says: January 5, 2026 at 1:09 pm I can relate to all of that! Reply",Jo-Lynne Shane (Consumer),0.0
"Patt says: January 5, 2026 at 10:39 am I found this very applicable to what is going on in my fashion life. I think I am changing my words to modern, classic, and edgy. It seems like a contradiction, but I am not just one thing. I like classic style in a modern way, and sometimes that means a little edgy, and I don’t mean in a sexy way, but in a way that’s a little different than normal. It’s a work in progress. I find myself wanting to wear hoodies that are not plain, but only at home. I’m still trying to figure this out. I just know that I need to stop buying dressier items, because that’s not my lifestyle anymore. I have discovered the Quince ponte pants line, and they are perfect for me because they are not jeans, look polished, and are comfortable like a legging. They come in different lengths and leg styles, depending on what you want. Just a suggestion on what is currently working for me as a nicer pants that’s not jeans. Reply",Jo-Lynne Shane (Consumer),0.9627
"Jo-Lynne Shane says: January 5, 2026 at 1:10 pm I like the Quince ponte pants, but they are all too tight in my waist. It’s so frustrating. Reply",Jo-Lynne Shane (Consumer),-0.6555
"Lisa says: January 7, 2026 at 11:59 pm The way you’re describing your word “edgy” reminds me of my own word “unexpected“. For me it’s something a little different and out of the norm. My three are elegant, empowered and unexpected. Reply",Jo-Lynne Shane (Consumer),0.4767
"Heather I says: January 5, 2026 at 10:44 am I’m always in declutter/downsize mode, but I have transitioned from work-from-home full-time to working in a very conservative environment where full suits are required. If I’m not at work, I’m in pajamas or workout gear. I have nothing in between for going out to dinner/concerts/date nights. We don’t do it often, but we don’t NOT do it, either, so I need some casual party/going out clothes. As for everything else, I agree. Approaching 53 and definitely am understanding more what works and not trying to fit my round body into a square peg! Later today I’ll be purging more that I just don’t wear anymore. Shoes are another area I am becoming more discerning. I don’t care about trends as much, don’t do heels over 1.5″ post Covid, and refuse to wear “cute” shoes that are uncomfortable. Reply",Jo-Lynne Shane (Consumer),-0.5104
"Ana says: January 5, 2026 at 11:50 am I hear you on comfortable shoes! I don’t wear heels due to bad feet and stick with what’s comfy even if they might be not very current-I just don’t really care much anymore lol Reply",Jo-Lynne Shane (Consumer),-0.1373
"Jo-Lynne Shane says: January 5, 2026 at 1:12 pm Yes, I was thinking I should have addressed shoes. I did end up embracing Mary Janes this year, which I NEVER expected to happen! The styles I like are a bit edgier tho… small details that make a big difference. This post felt long enough, tho! As for needing some in between clothes, I have heard it recommended that your wardrobe should reflect how much time you spend in your clothes. So if you spend 70% of your life at work, 10% going out, and 20% at home in sweats, then 70% of your wardrobe should be workwear, 10% “going out” clothes, and 20% loungewear. Seems obvious, but in case you never thought of it that way… maybe that will help you determine how much you need. Reply",Jo-Lynne Shane (Consumer),0.7983
"KimW says: January 5, 2026 at 10:55 am Helpful post! I found that in 2025 i wayyy overspent trying out newer trends and honestly should have stuck with what feels comfortable and stylish to me and not what i see on others. I ended up with many jean styles that just don’t fit with my personality and feel that i wasted a lot of money in this area in an effort to break out of my skinny jean rut! The denim styles out now are very confusing to me as they don’t always pair with the shoes i have in my closet. My goal this year is to greatly pair down/declutter my closet and only keep what feels like “me” and for new purchases, invest in pieces that will hold up well and that i can style in multiple ways. Reply",Jo-Lynne Shane (Consumer),0.6986
"Jo-Lynne Shane says: January 5, 2026 at 1:14 pm Yeah, that is the thing with evolving trends. Each wardrobe category affects another, so newer denim styles will likely require updating your shoes and tops too. It can feel overwhelming! Reply",Jo-Lynne Shane (Consumer),0.6996
"Leslie says: January 5, 2026 at 10:55 am Wondering how you determined your style goal words? Reply",Jo-Lynne Shane (Consumer),0.34
"Jo-Lynne Shane says: January 5, 2026 at 11:54 am I listened to this podcast, and it’s the one that really helped me narrow them down and make them useful. Reply",Jo-Lynne Shane (Consumer),0.4404
"Patty says: January 5, 2026 at 11:06 am JoLynne – I’ve eyed your JCrew cashmere boxy sweater ever since you debuted it for a great traveling piece. You show it this am in one of your pics as well! It looks timeless but being in SoCal I don’t wear sweaters very often and never see it with a ‘price improvement’…. Have you ever compared it to the Quince cashmere boxy sweater? I’d love to know if you have and what your thoughts were..?… Reply",Jo-Lynne Shane (Consumer),0.9388
"Jo-Lynne Shane says: January 5, 2026 at 1:21 pm I haven’t tried the Quince one, so I can’t really say, but they have a great return policy, so it’s worth a try! I have seen the J.Crew one on sale, but it’s been a while. Reply",Jo-Lynne Shane (Consumer),0.8661
"Judi L says: January 5, 2026 at 11:09 am I want to be more intentional in what I buy for 2026. I have plenty of Mother, Frame, Paige, AG, AYR jeans to last for a long time (in the style that I like and that looks best on my body). But with other items in my closet, I want to focus more on quality pieces vs trendy pieces that I might tire of in 6 months. I just ordered 2 new Veronica Beard bags and I am prepared to part with a few trendy logo bags I really don’t use anymore. Hoping that by actually putting this out in the universe, I can stick to my plan lol ! Reply",Jo-Lynne Shane (Consumer),0.8071
"Jo-Lynne Shane says: January 5, 2026 at 1:21 pm Sounds like a good way to invest in upgrading your wardrobe this year! Reply",Jo-Lynne Shane (Consumer),0.69
"Terri says: January 5, 2026 at 11:10 am Good post. This past year I let my hair go gray at age 70. I never thought I would do that. I’m glad I did now. It’s a pretty white silver. I’ve had to change my colors. Warm colors don’t look good on me anymore so I’ve donated a lot of clothes. I’m more neutral in skin tone but the hair color makes a difference in what colors flatter me now. I’m a winter now. I intend to try to buy clothes for the life I lead. I’ve bought more jeans and Tshirts lately. I do have my share of non denim pants. I love my wide leg trousers. I don’t wear dresses or skirts much anymore. I probably need to get rid of some skirts I’ve been hanging on to. As you get older comfort becomes more important. When it comes to shoes, safety is another thing to consider. I’m glad there’s stylish options for comfortable shoes. I’d like to see posts on how to style clothes we might have. You can still show some trends and then return it. 🙂 By the way I like those drawstring jeans. Those are the type of pants I wear in the summer. Reply",Jo-Lynne Shane (Consumer),0.9913
"Megan says: January 5, 2026 at 1:39 pm I liked those drawstring jeans too! Reply",Jo-Lynne Shane (Consumer),0.4753
"Dani says: January 10, 2026 at 4:26 pm Terri, I commented further down about my grey hair changing my colors. It took me a while to realize! Reply",Jo-Lynne Shane (Consumer),0.126
"Christine says: January 5, 2026 at 11:26 am Great post! Taking three trips to Europe this year with only a carry-on taught me I don’t need much. I had no problem coming up with a capsule wardrobe. I’m going to keep that in mind when I shop. I saw a quote “Style thrives in constraints.” That resonated with me. Reply",Jo-Lynne Shane (Consumer),0.126
"Jo-Lynne Shane says: January 5, 2026 at 1:24 pm Ohhh I like that one. The easiest trip I ever packed for was after I did my first-ever Marie Kondo closet purge and forced myself to create a capsule wardrobe. I documented it HERE. It was so freeing. If I didn’t have this job, I would so do that again! Reply",Jo-Lynne Shane (Consumer),0.8264
"Susan H says: January 5, 2026 at 11:32 am Great article! Love hearing your thought process on your personal style. I really need to pare down my wardrobe to just the combinations that are in style and I wear the most. Unfortunately I often fall victim to “what if I need it” or, “remember the great time I wore this…” Reply",Jo-Lynne Shane (Consumer),0.872
"Kara says: January 5, 2026 at 11:44 am This was all so reaffirming and relatable! I enjoy following you because you feature “simple, comfortable outfits that feel polished and wearable in real life” with subtle variety instead of always changing it up. Thank you! Reply",Jo-Lynne Shane (Consumer),0.8619
"Karen says: January 5, 2026 at 11:49 am This post each year gives me the nudge to reflect on my style and closet! I actually described my style and how I like to look to Chat GPT … oh yes I did 😂 and the three words that described my style were: modem , effortless and distinctive! The last was because even though I like to be casual and put together, I don’t necessarily want to look like everyone else ! I don’t need a lot of dressy clothes except for church and some going out outfits!! My day to day is comfort and casual living! But I want to stand out in a way that looks like I put effort and thought into my outfit before leaving the house! If you’re looking for a pant non denim have you tried the lodge pant from Aritzia? I think I’m going to invest in a pair you can dress them up or down and I can myself getting a lot of wear out of them! Reply",Jo-Lynne Shane (Consumer),0.8916
"Jo-Lynne Shane says: January 5, 2026 at 1:27 pm I love that you used ChatGPT for that! And distinctive is a great word for a style descriptor that I’ve never heard before. I have tried Aritzia pants but not the Lodge b/c I hate that kind of waistband. I prefer more structure. I felt like the ones I tried were too loose in the hips and long in the crotch, but they were ivory and that did me no favors. I should try a few more pairs in darker colors. Reply",Jo-Lynne Shane (Consumer),-0.2014
"Sandie says: January 5, 2026 at 7:15 pm I described my style to Chat GPT–thanks for the idea, Karen! My 3 words were polished, modern and effortless, with alternate words relaxed, tailored and versatile. I feel that both sets of words describe my style. Reply",Jo-Lynne Shane (Consumer),0.5411
"Deb says: January 5, 2026 at 11:52 am Love today’s post as it is so informative. I’ve struggled finding my style words with classic and polished best describing my behaviors and style. It’s the third word boho or edgy I need to figure out. Like you and so many others I am tired of chasing trends, and lean to fewer pieces that are of quality, fit well and my style. Thank you for what you do. You are one do the few bloggers I follow who comes across as intentional about her clothing selections and then educates us on the process. I can’t wait to see what’s in store for you and your business in 2026. Reply",Jo-Lynne Shane (Consumer),0.9088
"Jo-Lynne Shane says: January 5, 2026 at 1:30 pm Maybe give this podcast a listen, it really helped me hone in on my words. And it isn’t like I think about them all the time, but every once in a while when I can’t pinpoint why something is off, I realize it doesn’t fit those words, so I do think it’s a helpful exercise. Reply",Jo-Lynne Shane (Consumer),0.123
"Heather J says: January 5, 2026 at 12:14 pm I loved this post so much. I need more of this to help me in my ongoing approach to try to downsize my closet. When I look back on my fashion choices and spending last year I want to do better this year. I feel like I wasted money on items I thought I loved and would wear but didn’t. How do I shop differently to avoid this? Part of my challenge is finding myself in situations where I’m shopping with friends and everyone encourages each other to buy whatever we try on, but those are often the things I end up never wearing. (This is one reason I like to share try ons with your FB group: honest feedback and unbiased opinions.) I have a walk-in closet, but it’s not super big and it’s very packed at the moment. Because of where I live, I don’t change out my closet based on the seasons, so I have ALL my clothes in my closet year round. Sometimes we have a warm January day when I’ll reach for a tank or a short dress so I like having all the options available. However I still think I probably should figure out a way to organize my closet better. Any suggestions are appreciated! Reply",Jo-Lynne Shane (Consumer),0.9833
"Jo-Lynne Shane says: January 5, 2026 at 1:40 pm It sounds like it works for you to keep it all in your closet, and probably helps you know what you have. I think the issue with shopping with friends is a big one. Jen at Everyday Style School mentions it a lot, and says that those purchases often end in the donate bin. Maybe have a list of questions on your phone you look at, back in the fitting room when you are alone and deciding which pieces to buy, to reassess: Where will I wear this? What will I wear with it? Do I have anything that serves that same purpose that I already enjoy wearing? If so, am I willing to part with to make room for this new item? Also, be honest with your friends and tell them you’re trying to be more intentional with your purchases, and have them help you answer those questions, lol. Or another idea is to take a photo, go home, and see if you’re still thinking about it the next day. If so, go to your closet and see if you can make outfits with it. You can always order it or go back and get it. Reply",Jo-Lynne Shane (Consumer),0.9693
"Mona says: January 5, 2026 at 12:18 pm Great post! I could not agree more. I too have determined that I am a solid size 30. However, if I find a certain style feels more comfortable larger, I’ll size up with a stiff upper lip. 😂 I’m all for it. Blood pressure medication at age 68 has helped me to gain weight. As a result, I’ve had to settle into reality and honestly, it’s liberating! I exercise regularly and don’t frequently overindulge so whatever size I am, I am! Getting too old to worry about it and frankly, if I put an outfit together and it suits my body, it makes me feel great! Kick It, Weekenders and Mari’s are my favorite jeans and for tops, quality & simple are best. Like you, less is more. Otherwise, I get overwhelmed! I appreciate your blog and wish you good health and a year of peace and contentment. Blessings to you! Reply",Jo-Lynne Shane (Consumer),0.9931
"Ginger Hiller says: January 5, 2026 at 12:30 pm For non-denim pants, have you tried Chico’s pull on pixie style pants? While a lot of the styles at Chico’s don’t fit my personal style, I do enjoy wearing my black slacks from there. Last year I wanted to have fewer pieces in my wardrobe, but I never fully got to that point. Now when I walk in my closet, I really want to scream due to how full it is, and it being full does not make me happy. I would really like to try everything on now and only keep what I really love. But the ruptured tendon to the bicep in my arm is so painful, that I just can’t do it. I have begun carefully looking at each piece in my wardrobe and pulling out things that I am not wearing or using now, for whatever reason. Hopefully that process will get me through the next few months and I’ll be happier with what is left. Reply",Jo-Lynne Shane (Consumer),0.6714
"Jo-Lynne Shane says: January 5, 2026 at 1:42 pm Yes, sometimes slow and steady is best! I do that too, some days I just look at an item and think, “Nope, I’m done with it.” And out it goes! It is constantly a work in progress. Reply",Jo-Lynne Shane (Consumer),0.8829
"Robin W says: January 5, 2026 at 1:40 pm I enjoy reading your daily blog, having only discovered it about a year or so ago. Although I am older (71) than you and your target audience, I find the information provided to be helpful in looking at fashion evolutions that I can incorporate while still being age appropriate. In general, my lifestyle is slightly more “dressy” than yours. I have many, many jeans, but often feel that something other than denim is required. I am going to leave a few suggestions below. Additionally, over the past five years or so, I have taken several higher-end cruises, and have collected a “cruise wardrobe” so to speak, which also tends to be a bit dressier – soft suiting, Ponte knits, cottons and linens, and evening attire (not formal) that can all be packed easily. These items then transition to my daily wardrobe paired with jeans or other casual bottoms to jazz up the look. One of my recent finds last year that might work for you are the AG Caden twill pants. I bought two pairs of the wide leg version, but it also comes in a straight leg style. It is such a soft, luxurious twill, and as an added “bonus” runs large. I am normally a 27 in designer jeans, but in the Caden I wear a 25. I also have found some Ponte knit that are trouser style, with a zipper fly, and those tend to be less restrictive. These are a few years old now, but one pair was from Talbots and the other a Michael Kors version. I’m also a fan of Nic & Zoe clothing – dressy/casual, and J. McLaughlins. I look forward to your posts for 2026! Reply",Jo-Lynne Shane (Consumer),0.9541
"Jo-Lynne Shane says: January 5, 2026 at 1:46 pm Thanks, Robin, I’ll try them. AG tends to fit me well. I was also thinking that a goal this year might be to develop a better travel wardrobe (that can overlap my everyday) since I plan to do more travel in the next few years. Reply",Jo-Lynne Shane (Consumer),0.765
"Jess says: January 5, 2026 at 3:40 pm Would love to see a post about the Great Closet Edit (goal #4)! It would be fun to see what you keep and let go of and how you decide. Reply",Jo-Lynne Shane (Consumer),0.9168
"Sandy says: January 5, 2026 at 3:59 pm Thank you! I too am still looking for non-denim pants so I am on that journey with you! Can’t wait to see what you find. Reply",Jo-Lynne Shane (Consumer),0.4738
"Julie C-H says: January 5, 2026 at 3:59 pm Great post! As I get closer to retirement, I find myself simplifying my wardrobe. I only want close that I feel comfortable in and I can see myself wearing around the house. I’m trying to only buy natural fibers and that has really helped simplify things for me. Funny, I remember saying that I will always be a brunette, basically, I planed to go to my grave as a brunette. After turning 60 this year, I’ve decided to try to go gray. My hair is really long and thick and I love the idea of having really long gray hair. We’ll see…maybe I’ll end up looking like a hag and dying it back to my “natural” brown color! Reply",Jo-Lynne Shane (Consumer),0.9617
"Jo-Lynne Shane says: January 5, 2026 at 4:01 pm Haha! Well, I doubt you will look like a hag. Curious to hear how you like it once it grows in! Reply",Jo-Lynne Shane (Consumer),0.8585
"Cindy says: January 5, 2026 at 4:11 pm JoLynne, as I read the comments, I realize that I’m not the only person in my age group (70) who loves your blog. I follow some who are more in line with my age, but your style is my style. I just can’t see myself dressing differently; and when I’ve tried, the clothes simply don’t feel like anything I want to wear. It was you who inspired me to use three descriptive words for my wardrobe. Since I’ve been following you, I have received more compliments on my look than I did in all the years before. It’s easier to define my style and follow that as a guideline now. Thanks so much for all you do! We appreciate all the sincere effort you put into everything you do. Reply",Jo-Lynne Shane (Consumer),0.976
"Jo-Lynne Shane says: January 5, 2026 at 4:45 pm Hi Cindy, thank you so much! I truly think the principles of style transcends age groups. I love that women of all ages can bond over these topics. Reply",Jo-Lynne Shane (Consumer),0.8799
"Teresa M says: January 5, 2026 at 6:29 pm Well, count me in with the 70 crowd that follows you! I turned 71 in Sept., but I don’t feel like I’m that old and am always guessed in my 50s–so….I would feel out of place following utubers my age. As far as hair, I’m lucky I guess..born a blonde that got darker and now rely on just highlights to blend the grays. I had a white streak on part of my hair (since my 20s) that I was always dyeing–then one day I struck up a conversation with an Ulta gal as I was looking for a coverup crayon–and she said–it blends in with your hair and gals pays big money for a streak like that! Lol, so that ended my having to deal with that task every 2-3 weeks! What a relief! I, like you, definitely have a boho streak and am drawn to some clothes, etc. with that theme. Not overly, just some–I love my drawstring jeans and birks! I got an apple watch for xmas and my boho leather band just came today(: . I’m still learning about avoiding and wasting money on trends that don’t even suit me–so I’m looking forward to seeing your purchases in 2026! Reply",Jo-Lynne Shane (Consumer),0.8581
"Paula says: January 5, 2026 at 6:34 pm Great blog! As I have gotten older i want less of everything! I use the reverse hanger trick at the start of every season and that helps me to evaluate what I actually wore. Even then i still can get rid of more as I have more clothes than I want to manage. Especially hard to part with is jewelry…because it always fits no matter my size. Reply",Jo-Lynne Shane (Consumer),0.7087
"Sandie says: January 5, 2026 at 7:29 pm I’m trying to be more intentional with my purchases too. Recently I saw a creator talking about how in the future, she wasn’t going to buy anything that was all synthetic; that it had to be a natural fiber (like cotton, wool, silk, linen) or at least a blend. I thought, great idea! I just recently discarded an acrylic sweater, and have other pieces that I know are synthetic and I never wear them. Today, I wore pants that I got recently from Nordstrom Rack. They’re wide-leg, black with cargo pockets. Fortunately, I got them on “extreme clearance,” because I realized I don’t like them! At all. I couldn’t wait to get home and take them off. The legs are too wide–I think a closer fit in the thighs would be better. And I realized: they’re polyester. Synthetic! I don’t like that, I finally realized. They will find their way to the donate pile after I wash them. Live and learn. Reply",Jo-Lynne Shane (Consumer),0.805
"Kathleen says: January 5, 2026 at 9:32 pm Girl, you are on a cross road There is peri menopause which only rolls into menopause (so fun) The start of empty nesting Body changes. Even changes in your skin care routine needs a serious update due to these lovely changes I was just like you and went to jeans and sweater….until I found you You updated my look from working menopausal mom. To stylish woman of my age. Thank you It will come full circle But wow you are on a denim rampage Cut your selection down and find new ways to style them Ps. Bonus. Reconnecting with Your husband. Discovering new things you have always wanted to to try. More travel. Reply",Jo-Lynne Shane (Consumer),0.9294
"Melissa K says: January 5, 2026 at 9:58 pm Fantastic post! I am so ready to refine my closet to what I actually wear. Have you tried the Athleta endless pant in the wide leg? They are not super wide and so flattering and comfy! Reply",Jo-Lynne Shane (Consumer),0.8058
"Shirley says: January 5, 2026 at 10:50 pm I really like J.Crew for dressier pants. I like that your style is more casual & leans toward a lot of denim, as that totally works for my lifestyle too, Reply",Jo-Lynne Shane (Consumer),0.7703
"Jane Whitman says: January 6, 2026 at 3:45 am Happy New Year to you and yours! Thank you for such a genuine and thoughtful message for your 2026 style aims. You have encapsulated exactly how I have been feeling but also wondering if I should!! Now I feel emboldened by your words to feel ok about the notion ‘less is more’ but refining and needing perhaps less ‘fashion’ but leaning towards ‘style’ and an overall elegance of person. So saying I think you are there already ! Thank you. Reply",Jo-Lynne Shane (Consumer),0.9478
"Kathy says: January 6, 2026 at 5:10 pm I’m like you….. simplify and I mostly wear jeans and sweaters this time of year. I tend to reach for the same things. I try to buy some more dressy items for church but then if it’s rainy and I grab my jeans and sweater and go. I feel for you. Your job kind of conflicts with the way you want to buy and style clothes. Maybe your blog is to keep us updated but modern and not so intentional on trends and do post on 5 ways to wear this or that. I have purging to do. I usually go through every so often and just pull things out. Usually at season changes. My closet top shelf needs a overhaul and I just saw on Cyndi’s blog the shelf deciders. This would help me keep sweaters stacked and not falling over. lol Simple fix. I better order them. I’m glad to hear you like my book recommendation of The Book of Lost Names. After I read it I read more of her books. She’s so good at historical fiction. I have one of her now in my pile to read. I need to stop ordering books until the pile is read. Have a great week. Reply",Jo-Lynne Shane (Consumer),0.9612
"Ingrid says: January 7, 2026 at 8:18 am Jo-Lynne, I have been reading your blog since 2013. I think back then it was “Musings of a Housewife.” I am in the UK, possibly your longest-standing fan from there! I really loved this post, it’s helped me a lot. For a long time, I have struggled with thinking that fashion and style are superficial pursuits or even distractions from ‘real life’, and more important things. Whilst always reading fashion blogs, ha ha, and feeling guilty about it, as I “should do something better with my time!” It’s only now I’m approaching the big 5-0, that I’ve concluded style and fashion do really matter to me personally, because it’s one expression of who I am and my preferences, and can be just fun, too and I have permission to indulge. There are other ways to express myself too, and I do, but I no longer want to ignore the style and fashion piece for myself, because I am left feeling very ‘traditional’ and possibly a bit frumpy and I am definitely not that type of person. I am however sort of starting from scratch! I have the most minimalist wardrobe you can imagine, I probably wear 10 things (including coat and shoes) on rotation every season (and I only have 2 seasons). I know what things I like, a lot of it is similar to your style, and your ‘3 words’. Now it’s a matter of finding them and buying them. So your tips help me a lot – most of the pieces are available in the UK / online. I have some questions for you: 1) Denim: It’s my biggest challenge! I live in jeans, but – cringe – I am still wearing skinnies (and straight styles), and they are worn out. Even if I believe that you should wear what you love, I do feel terribly outdated in skinnies now, and at my tender age of 47, if I want to be modern, that means trying other styles, like wide leg, maybe straight, maybe a slight bootcut. I live far from any shops, so I am forced to shop online. That means ordering 2-3 pairs at one time, because it’s so pricey, especially as I want to try premium denim. Is this how you do it? You just order all the jeans? Or do you go to a physical shop? 2) Athletic wear. I go to the gym often, and between that and driving my children to and from school and clubs, I don’t always have time to change back into regular clothes. So I need athletic wear that looks good. I have pretty good leggings but am struggling with outerwear – I just wear my regular wool coat and it doesn’t look good with leggings at all! Do you have suggestions for outerwear that would look good with sports leggings, but that is warm (it gets to just below freezing here). What would you add to the look? A sporty type bag (what would that be)? Any feedback much appreciated. Thanks so much for the work you do. I love that you are not one of those crazy fashionistas that noone can actually imitate in real life! Reply",Jo-Lynne Shane (Consumer),0.9943
"Jennifer says: January 10, 2026 at 10:48 am I’d love to see linen pants for spring and summer with your polished goals in mind. I often feel like they look very unflattering in the mid section for those of us middle-aged, and the casual but walkable shoe is a challenge for me. I look forward to your posts on this when the weather warms up. Thanks! Reply",Jo-Lynne Shane (Consumer),0.8999
